input_file,window_index,window_time_s,mean_power,rms_amplitude,crest_factor,spectral_centroid_hz,spectral_spread_hz,occupied_bandwidth_hz,spectral_entropy,spectral_flatness,peak_frequency_hz,phase_diff_std,cluster_label
drone_sample_iq.dat,0,0.002048,0.080063,0.282954,2.795154,609.495341,255784.779466,985595.703125,0.843062,0.440366,11962.890625,1.582570,1
drone_sample_iq.dat,1,0.004096,0.078826,0.280760,2.726723,9986.648048,258985.016073,987060.546875,0.853755,0.458929,11962.890625,1.596967,1
drone_sample_iq.dat,2,0.006144,0.077732,0.278804,2.674341,-7495.967253,260303.818443,988037.109375,0.856316,0.469370,11962.890625,1.619217,1
drone_sample_iq.dat,3,0.008192,0.080064,0.282956,2.766889,3298.800520,262586.800428,986328.125000,0.851113,0.452948,11962.890625,1.627609,1
drone_sample_iq.dat,4,0.010240,0.079899,0.282664,2.769748,-946.629039,265117.722653,993164.062500,0.850124,0.461323,11962.890625,1.651307,1
drone_sample_iq.dat,5,0.012288,0.079395,0.281771,2.727925,-1741.068244,262514.407748,988281.250000,0.852116,0.455888,11962.890625,1.655168,1
drone_sample_iq.dat,6,0.014336,0.079471,0.281906,2.742683,1675.332662,258453.666372,983642.578125,0.847604,0.452622,11962.890625,1.629138,1
drone_sample_iq.dat,7,0.016384,0.079887,0.282642,2.985663,14142.297160,255577.098251,986816.406250,0.845047,0.456596,11962.890625,1.614710,1
drone_sample_iq.dat,8,0.018432,0.081036,0.284669,2.964411,10033.390954,261951.400563,986328.125000,0.849818,0.466378,11962.890625,1.627621,1
drone_sample_iq.dat,9,0.020480,0.082966,0.288037,2.883781,9495.889988,254254.073314,987548.828125,0.836274,0.435021,11962.890625,1.618835,1
drone_sample_iq.dat,10,0.022528,0.085850,0.293001,2.834924,10812.591546,248787.805060,985107.421875,0.825396,0.420842,11962.890625,1.601348,1
drone_sample_iq.dat,11,0.024576,0.087589,0.295955,3.050481,11540.707966,254927.079052,986328.125000,0.828091,0.427401,11962.890625,1.595119,1
drone_sample_iq.dat,12,0.026624,0.089528,0.299212,3.345922,13238.378755,246078.056965,982910.156250,0.805464,0.402564,11962.890625,1.554050,1
drone_sample_iq.dat,13,0.028672,0.092641,0.304369,3.289229,19128.844847,247288.659558,984619.140625,0.790478,0.397734,11962.890625,1.540019,1
drone_sample_iq.dat,14,0.030720,0.097239,0.311831,3.065844,26204.939231,238377.332791,977783.203125,0.781673,0.381674,110595.703125,1.528472,1
drone_sample_iq.dat,15,0.032768,0.101595,0.318740,2.939935,37581.125570,230910.235354,983398.437500,0.744376,0.363831,110595.703125,1.477818,1
drone_sample_iq.dat,16,0.034816,0.106955,0.327040,2.749131,28481.114543,229416.461651,981445.312500,0.720370,0.342979,110595.703125,1.430420,1
drone_sample_iq.dat,17,0.036864,0.113581,0.337017,2.711641,33583.469758,223760.827052,981201.171875,0.702293,0.327523,110595.703125,1.395345,1
drone_sample_iq.dat,18,0.038912,0.123736,0.351761,2.597988,37044.509399,218103.078541,982666.015625,0.669890,0.305257,110839.843750,1.377572,5
drone_sample_iq.dat,19,0.040960,0.132573,0.364106,2.645205,44575.776677,208942.192107,978515.625000,0.641830,0.282032,110839.843750,1.335472,5
drone_sample_iq.dat,20,0.043008,0.140809,0.375245,2.659272,52281.628174,200246.879549,981689.453125,0.593946,0.257925,110839.843750,1.236928,5
drone_sample_iq.dat,21,0.045056,0.155165,0.393910,2.536942,51948.001963,196579.427599,971191.406250,0.576555,0.244363,110839.843750,1.178178,5
drone_sample_iq.dat,22,0.047104,0.168094,0.409993,2.817732,61865.994244,188279.326180,970947.265625,0.551601,0.229816,110839.843750,1.112834,5
drone_sample_iq.dat,23,0.049152,0.179048,0.423141,2.730178,66715.831852,179409.053474,971435.546875,0.510539,0.202691,110839.843750,1.037708,5
drone_sample_iq.dat,24,0.051200,0.196741,0.443555,2.490633,70514.036661,171045.997282,971191.406250,0.486450,0.181930,110839.843750,0.999581,5
drone_sample_iq.dat,25,0.053248,0.216687,0.465496,2.469455,69378.418796,170161.837551,973144.531250,0.464028,0.176145,110839.843750,0.933416,5
drone_sample_iq.dat,26,0.055296,0.235704,0.485494,2.385023,75890.139980,158182.765614,960205.078125,0.433143,0.155059,111083.984375,0.842976,5
drone_sample_iq.dat,27,0.057344,0.257768,0.507709,2.280668,77852.564720,155181.075905,960937.500000,0.413614,0.142411,111083.984375,0.758950,5
drone_sample_iq.dat,28,0.059392,0.323872,0.569098,2.303625,91950.247486,148713.982206,956787.109375,0.412273,0.126119,111083.984375,0.848786,5
drone_sample_iq.dat,29,0.061440,0.421937,0.649567,2.355568,136071.482143,141372.980448,938964.843750,0.363032,0.085394,111083.984375,1.002315,2
drone_sample_iq.dat,30,0.063488,0.485851,0.697030,2.195167,139470.223088,135496.140655,913574.218750,0.349354,0.077790,111083.984375,1.035574,2
drone_sample_iq.dat,31,0.065536,0.529937,0.727968,2.361415,144063.735027,131275.575119,910400.390625,0.334846,0.068419,111083.984375,1.026696,2
drone_sample_iq.dat,32,0.067584,0.574597,0.758022,2.267791,143030.005429,128067.136846,912841.796875,0.329101,0.067342,111083.984375,0.994011,2
drone_sample_iq.dat,33,0.069632,0.614558,0.783938,2.066486,143302.988632,125296.251313,899902.343750,0.318357,0.061383,111328.125000,0.965889,2
drone_sample_iq.dat,34,0.071680,0.656620,0.810321,2.258254,147955.761425,119464.261602,895507.812500,0.307077,0.054603,111328.125000,0.971077,2
drone_sample_iq.dat,35,0.073728,0.704983,0.839632,2.179419,147883.735677,116906.534673,891357.421875,0.299776,0.051128,111328.125000,0.952640,2
drone_sample_iq.dat,36,0.075776,0.752547,0.867495,2.085415,149133.942351,117099.683771,898193.359375,0.297734,0.050745,111328.125000,0.951781,2
drone_sample_iq.dat,37,0.077824,0.803142,0.896182,2.133712,148733.232198,115056.514112,876708.984375,0.288513,0.046296,111328.125000,0.964204,2
drone_sample_iq.dat,38,0.079872,0.860013,0.927369,2.061956,150791.352581,112598.457116,876464.843750,0.285677,0.043089,111328.125000,0.947429,2
drone_sample_iq.dat,39,0.081920,0.915837,0.956994,2.051538,152584.937508,107379.936428,851318.359375,0.276841,0.039379,111328.125000,0.932180,2
drone_sample_iq.dat,40,0.083968,0.965423,0.982559,1.998158,152482.432470,106082.989655,839599.609375,0.274444,0.037079,111328.125000,0.924541,2
drone_sample_iq.dat,41,0.086016,1.013281,1.006618,1.970195,153084.089782,103977.976765,835449.218750,0.269047,0.035461,111328.125000,0.922859,2
drone_sample_iq.dat,42,0.088064,1.051300,1.025329,1.966507,154081.017701,104963.371671,847900.390625,0.268253,0.035801,111572.265625,0.930804,2
drone_sample_iq.dat,43,0.090112,0.794154,0.891153,2.262593,175080.297329,117347.891316,874755.859375,0.338302,0.050711,242675.781250,0.822390,2
